K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,
15-48-18-2,48-6-8-20,6.31126,7.82624,1.10029,12.80879,1,0.22842,73,0.22842
6-20-18-15,37-8-20-2,6.96143,7.24473,1.23714,12.73282,1,0.23621,74,0.23621
20-8-0-18-6,37-15-2-20-8,25.19023,8.70521,5.02126,28.59659,1,0.27759,75,0.27759
15-48-2-20,0-6-18-8,5.04686,23.94567,0,28.62265,1,0.36989,76,0.36989
48-2-37-0,2-48-37-6,24.08773,5.08766,3.33765,25.2766,1,0.56114,77,0.56114
0-15-8,15-20-6,23.4373,4.45881,1.47399,25.85843,1,0.56369,78,0.56369
20-6-37-2-48,20-0-8-2-48,6.32372,25.51692,3.57445,27.69862,1,0.56757,79,0.56757
8-2-48-6-15,8-2-20-48-0,9.26141,25.51311,6.11289,27.99474,1,0.66688,80,0.66688
0-20-15,2002/6/20,23.48462,4.22312,1.23647,25.78121,1,0.69007,81,0.69007
20-48-2-6-8,15-0-18-8-20,9.04235,25.29479,5.02359,28.61848,1,0.69506,82,0.69506
0-20-2-48,20-15-48-6,24.32363,5.56093,2.33807,26.80526,1,0.74123,83,0.74123
20-15-6,48-0-18,4.4604,22.60077,0,26.3196,1,0.74158,84,0.74158
18-20-15-37-6,0-20-48-18-8,7.96198,25.0252,3.73657,28.50786,1,0.74275,85,0.74275
37-8-20-2-18,8-6-2-0-48,9.57145,25.46172,5.00598,28.3224,1,1.70479,86,1.70479
8-37-15-2-0,8-15-37-48-18,25.55193,9.64775,6.24965,27.19614,1,1.75389,87,1.75389
37-2-20-18,0-15-2-8,5.97435,24.5455,1.23751,27.41347,1,1.86887,88,1.86887
18-20-37,8-0-6,4.73632,23.32129,0,26.18834,1,1.86927,89,1.86927
8-15-0-48,15-18-37-48,24.45816,6.07498,2.57493,26.08493,1,1.87328,90,1.87328
0-37-15,37-15-18,23.24683,4.97342,2.47514,23.87175,1,1.87336,91,1.87336
20-37-6-48-18,48-0-37-6-20,7.58967,25.39737,5.08735,26.02547,1,1.87423,92,1.87423
37-48-18-6-20,6-0-15-37-8,7.58664,25.62377,2.74961,28.50862,1,1.95218,93,1.95218
18-48-20-37-2,6-8-37-48-0,7.07496,25.34989,2.1004,28.32634,1,1.99811,94,1.99811
20-2-6-0,37-6-15-18,24.48699,6.7227,1.74943,27.40648,1,2.05378,95,2.05378
18-15-37-20-2,37-0-6-8-2,7.44479,25.44171,2.23674,28.59462,1,2.05515,96,2.05515
18-0-48-2-6,18-48-6-8-20,24.89947,10.13215,5.35145,27.32457,1,2.35559,97,2.35559
6-18-0-37,8-6-37-18,23.76248,8.80522,5.25055,24.94828,1,2.36887,98,2.36887
8-37-18,18-0-48,7.09334,22.60515,2.49961,24.78596,1,2.41291,99,2.41291
8-2-15-18,15-0-6-18,8.77466,24.05959,3.97614,26.36146,1,2.49665,100,2.49665
2-18-8,18-0-6,7.32263,22.76566,2.50009,25.06482,1,2.52337,101,2.52337
0-20-15-6-48,6-20-15-48-8,25.69665,9.27508,5.56168,26.88587,1,2.52418,102,2.52418
20-0-15-6,8-6-37-20,24.67276,7.72988,2.98825,26.85819,1,2.5562,103,2.5562
0-2-20-48,15-48-18-6,24.32819,6.82454,1.10041,27.43646,1,2.61586,104,2.61586
2-48-37-8,48-0-15-20,7.10954,24.50392,1.10061,27.80917,1,2.70369,105,2.70369
2015/8/2,2-18-0,6.46988,22.68856,1.2365,25.17456,1,2.74739,106,2.74739
15-8-37,18-0-20,6.24271,22.8112,0,26.2941,1,2.75981,107,2.75981
6-48-0-2,20-8-15-2,24.28146,7.71074,1.23634,27.99083,1,2.76504,108,2.76504
37-20-0,2-15-8,23.18714,6.46666,0,26.785,1,2.8688,109,2.8688
48-6-8-37-15,48-2-18-0-15,9.04088,25.01067,2.57477,28.38671,1,3.09007,110,3.09007
20-8-37-48-6,48-20-15-37-0,8.82072,25.50604,3.33802,27.88241,1,3.10632,111,3.10632
2-20-6-8,0-48-18-2,7.96005,23.71108,1.23794,27.3244,1,3.1088,112,3.1088
18-48-0-2-37,2-15-6-37-8,24.7103,9.174,2.23686,28.3884,1,3.25904,113,3.25904
6-20-8-15,37-48-18-0,8.18826,23.59992,0,28.51157,1,3.2766,114,3.2766
18-8-37-20-6,2-20-6-0-37,10.0376,25.48955,3.98674,27.29955,1,4.24086,115,4.24086
18-8-20-2,48-0-20-2,8.56264,24.32455,2.47487,26.13898,1,4.27334,116,4.27334
0-48-2,2018/2/8,23.08835,7.326,1.23668,24.90337,1,4.2743,117,4.2743
0-15-48,2020/8/18,23.27123,7.33858,0,26.32214,1,4.28767,118,4.28767
18-8-2-48,2-37-20-0,8.40202,24.30054,1.23735,27.13343,1,4.33178,119,4.33178
6-37-15-20-0,18-2-8-48-20,25.67154,9.65625,1.23663,29.62097,1,4.47019,120,4.47019
,,,,,,,,121,0
,,,,,,,,122,0
,,,,,,,,123,0
,,,,,,,,124,0
,,,,,,,,125,0
,,,,,,,,126,0
,,,,,,,,127,0
,,,,,,,,128,0
,,,,,,,,129,0
,,,,,,,,130,0
,,,,,,,,131,0
,,,,,,,,132,0
,,,,,,,,133,0
,,,,,,,,134,0
,,,,,,,,135,0
,,,,,,,,136,0
,,,,,,,,137,0
,,,,,,,,138,0
,,,,,,,,139,0
,,,,,,,,140,0
,,,,,,,,141,0
,,,,,,,,142,0
,,,,,,,,143,0
,,,,,,,,144,0
,,,,,,,,145,0
,,,,,,,,146,0
,,,,,,,,147,0
,,,,,,,,148,0
,,,,,,,,149,0
,,,,,,,,150,0
,,,,,,,,151,0
,,,,,,,,152,0
,,,,,,,,153,0
,,,,,,,,154,0
,,,,,,,,155,0
,,,,,,,,156,0
,,,,,,,,157,0
,,,,,,,,158,0
,,,,,,,,159,0
,,,,,,,,160,0
,,,,,,,,161,0
,,,,,,,,162,0
,,,,,,,,163,0
,,,,,,,,164,0
,,,,,,,,165,0
,,,,,,,,166,0
,,,,,,,,167,0
,,,,,,,,168,0
,,,,,,,,169,0
,,,,,,,,170,0
,,,,,,,,171,0
,,,,,,,,172,0
,,,,,,,,173,0
,,,,,,,,174,0
,,,,,,,,175,0
,,,,,,,,176,0
,,,,,,,,177,0
,,,,,,,,178,0
,,,,,,,,179,0
,,,,,,,,180,0
,,,,,,,,181,0
,,,,,,,,182,0
,,,,,,,,183,0
,,,,,,,,184,0
,,,,,,,,185,0
,,,,,,,,186,0
,,,,,,,,187,0
,,,,,,,,188,0
,,,,,,,,189,0
,,,,,,,,190,0
,,,,,,,,191,0
,,,,,,,,192,0
,,,,,,,,193,0
,,,,,,,,194,0
,,,,,,,,195,0
,,,,,,,,196,0
,,,,,,,,197,0
,,,,,,,,198,0
,,,,,,,,199,0
,,,,,,,,200,0
,,,,,,,,201,0
,,,,,,,,202,0
,,,,,,,,203,0
,,,,,,,,204,0
,,,,,,,,205,0
,,,,,,,,206,0
,,,,,,,,207,0
,,,,,,,,208,0
,,,,,,,,209,0
,,,,,,,,210,0
,,,,,,,,211,0
,,,,,,,,212,0
,,,,,,,,213,0
,,,,,,,,214,0
,,,,,,,,215,0
,,,,,,,,216,0
,,,,,,,,217,0
,,,,,,,,218,0
,,,,,,,,219,0
,,,,,,,,220,0
,,,,,,,,221,0
,,,,,,,,222,0
,,,,,,,,223,0
,,,,,,,,224,0
,,,,,,,,225,0
,,,,,,,,226,0
,,,,,,,,227,0
,,,,,,,,228,0
,,,,,,,,229,0
,,,,,,,,230,0
,,,,,,,,231,0
,,,,,,,,232,0
,,,,,,,,233,0
,,,,,,,,234,0
,,,,,,,,235,0
,,,,,,,,236,2
,,,,,,,,237,2
,,,,,,,,238,2
,,,,,,,,239,2
,,,,,,,,240,2
,,,,,,,,241,2
,,,,,,,,242,2
,,,,,,,,243,2
,,,,,,,,244,2
,,,,,,,,245,2
,,,,,,,,246,2
,,,,,,,,247,2
,,,,,,,,248,2
,,,,,,,,249,2
,,,,,,,,250,2
,,,,,,,,251,2
,,,,,,,,252,2
,,,,,,,,253,2
,,,,,,,,254,2
,,,,,,,,255,2
,,,,,,,,256,2
,,,,,,,,257,2
,,,,,,,,258,2
,,,,,,,,259,2
,,,,,,,,260,2
,,,,,,,,261,2
,,,,,,,,262,2
,,,,,,,,263,2
,,,,,,,,264,2
,,,,,,,,265,2
,,,,,,,,266,2
,,,,,,,,267,2
,,,,,,,,268,2
,,,,,,,,269,2
,,,,,,,,270,2
,,,,,,,,271,2
,,,,,,,,272,2
,,,,,,,,273,2
,,,,,,,,274,2
,,,,,,,,275,2
,,,,,,,,276,2
,,,,,,,,277,2
,,,,,,,,278,2
,,,,,,,,279,2
,,,,,,,,280,2
,,,,,,,,281,2
,,,,,,,,282,2
,,,,,,,,283,2
,,,,,,,,284,2
,,,,,,,,285,2
,,,,,,,,286,2
,,,,,,,,287,2
,,,,,,,,288,2
,,,,,,,,289,2
,,,,,,,,290,2
,,,,,,,,291,2
,,,,,,,,292,2
,,,,,,,,293,2
,,,,,,,,294,2
,,,,,,,,295,2
,,,,,,,,296,2
,,,,,,,,297,2
,,,,,,,,298,2
,,,,,,,,299,2
,,,,,,,,300,2
,,,,,,,,301,2
,,,,,,,,302,
,,,,,,,,303,
,,,,,,,,304,
,,,,,,,,305,
,,,,,,,,306,
,,,,,,,,307,
,,,,,,,,308,
,,,,,,,,309,
,,,,,,,,310,
,,,,,,,,311,
,,,,,,,,312,
,,,,,,,,313,
,,,,,,,,314,
,,,,,,,,315,
,,,,,,,,316,
,,,,,,,,317,
,,,,,,,,318,
,,,,,,,,319,
,,,,,,,,320,
,,,,,,,,321,
,,,,,,,,322,
,,,,,,,,323,
,,,,,,,,324,
,,,,,,,,325,
,,,,,,,,326,
,,,,,,,,327,
,,,,,,,,328,
,,,,,,,,329,
,,,,,,,,330,
,,,,,,,,331,
,,,,,,,,332,
,,,,,,,,333,
,,,,,,,,334,
,,,,,,,,335,
,,,,,,,,336,
,,,,,,,,337,
,,,,,,,,338,
,,,,,,,,339,
,,,,,,,,340,
,,,,,,,,341,
,,,,,,,,342,
,,,,,,,,343,
,,,,,,,,344,
,,,,,,,,345,
,,,,,,,,346,
,,,,,,,,347,
,,,,,,,,348,
,,,,,,,,349,
,,,,,,,,350,
,,,,,,,,351,
,,,,,,,,352,
,,,,,,,,353,
,,,,,,,,354,
,,,,,,,,355,
,,,,,,,,356,
,,,,,,,,357,
,,,,,,,,358,
,,,,,,,,359,
,,,,,,,,360,
,,,,,,,,361,
,,,,,,,,362,
,,,,,,,,363,
,,,,,,,,364,
,,,,,,,,365,
,,,,,,,,366,
,,,,,,,,367,
,,,,,,,,368,
,,,,,,,,369,
,,,,,,,,370,
,,,,,,,,371,
,,,,,,,,372,
,,,,,,,,373,
,,,,,,,,374,
,,,,,,,,375,
,,,,,,,,376,
,,,,,,,,377,
,,,,,,,,378,
,,,,,,,,379,
,,,,,,,,380,
,,,,,,,,381,
,,,,,,,,382,
,,,,,,,,383,
,,,,,,,,384,
,,,,,,,,385,
,,,,,,,,386,
,,,,,,,,387,
,,,,,,,,388,
,,,,,,,,389,
,,,,,,,,390,
,,,,,,,,391,
,,,,,,,,392,
,,,,,,,,393,
,,,,,,,,394,
,,,,,,,,395,
,,,,,,,,396,
,,,,,,,,397,
,,,,,,,,398,
,,,,,,,,399,
,,,,,,,,400,
,,,,,,,,401,
,,,,,,,,402,
,,,,,,,,403,
,,,,,,,,404,
,,,,,,,,405,
,,,,,,,,406,
,,,,,,,,407,
,,,,,,,,408,
,,,,,,,,409,
,,,,,,,,410,
,,,,,,,,411,
,,,,,,,,412,
,,,,,,,,413,
,,,,,,,,414,
,,,,,,,,415,
,,,,,,,,416,
,,,,,,,,417,
,,,,,,,,418,
,,,,,,,,419,
,,,,,,,,420,
,,,,,,,,421,
,,,,,,,,422,
,,,,,,,,423,
,,,,,,,,424,
,,,,,,,,425,
,,,,,,,,426,
,,,,,,,,427,
,,,,,,,,428,
,,,,,,,,429,
,,,,,,,,430,
,,,,,,,,431,
,,,,,,,,432,
,,,,,,,,433,
,,,,,,,,434,
,,,,,,,,435,
,,,,,,,,436,
,,,,,,,,437,
,,,,,,,,438,
,,,,,,,,439,
,,,,,,,,440,
,,,,,,,,441,
,,,,,,,,442,
,,,,,,,,443,
,,,,,,,,444,
,,,,,,,,445,
,,,,,,,,446,
,,,,,,,,447,
,,,,,,,,448,
,,,,,,,,449,
,,,,,,,,450,
,,,,,,,,451,
,,,,,,,,452,
,,,,,,,,453,
,,,,,,,,454,
,,,,,,,,455,
,,,,,,,,456,
,,,,,,,,457,
,,,,,,,,458,
,,,,,,,,459,
,,,,,,,,460,
,,,,,,,,461,
,,,,,,,,462,
,,,,,,,,463,
,,,,,,,,464,
,,,,,,,,465,
,,,,,,,,466,
,,,,,,,,467,
,,,,,,,,468,
,,,,,,,,469,
,,,,,,,,470,
,,,,,,,,471,
,,,,,,,,472,
,,,,,,,,473,
,,,,,,,,474,
,,,,,,,,475,
,,,,,,,,476,
,,,,,,,,477,
,,,,,,,,478,
,,,,,,,,479,
,,,,,,,,480,
,,,,,,,,481,
,,,,,,,,482,
,,,,,,,,483,
,,,,,,,,484,
,,,,,,,,485,
,,,,,,,,486,
,,,,,,,,487,
,,,,,,,,488,
,,,,,,,,489,
,,,,,,,,490,
,,,,,,,,491,
,,,,,,,,492,
,,,,,,,,493,
,,,,,,,,494,
,,,,,,,,495,
,,,,,,,,496,
,,,,,,,,497,
,,,,,,,,498,
,,,,,,,,499,
,,,,,,,,500,
,,,,,,,,501,
,,,,,,,,502,
,,,,,,,,503,
,,,,,,,,504,
,,,,,,,,505,
,,,,,,,,506,
,,,,,,,,507,
,,,,,,,,508,
,,,,,,,,509,
,,,,,,,,510,
,,,,,,,,511,
,,,,,,,,512,
,,,,,,,,513,
,,,,,,,,514,
,,,,,,,,515,
,,,,,,,,516,
,,,,,,,,517,
,,,,,,,,518,
,,,,,,,,519,
,,,,,,,,520,
,,,,,,,,521,
,,,,,,,,522,
,,,,,,,,523,
,,,,,,,,524,
,,,,,,,,525,
,,,,,,,,526,
,,,,,,,,527,
,,,,,,,,528,
,,,,,,,,529,
,,,,,,,,530,
,,,,,,,,531,
,,,,,,,,532,
,,,,,,,,533,
,,,,,,,,534,
,,,,,,,,535,
,,,,,,,,536,
,,,,,,,,537,
,,,,,,,,538,
,,,,,,,,539,
,,,,,,,,540,
,,,,,,,,541,
,,,,,,,,542,
,,,,,,,,543,
,,,,,,,,544,
,,,,,,,,545,
,,,,,,,,546,
,,,,,,,,547,
,,,,,,,,548,
,,,,,,,,549,
,,,,,,,,550,
,,,,,,,,551,
,,,,,,,,552,
,,,,,,,,553,
,,,,,,,,554,
,,,,,,,,555,
,,,,,,,,556,
,,,,,,,,557,
,,,,,,,,558,
,,,,,,,,559,
,,,,,,,,560,
,,,,,,,,561,
,,,,,,,,562,
,,,,,,,,563,
,,,,,,,,564,
,,,,,,,,565,
,,,,,,,,566,
,,,,,,,,567,
,,,,,,,,568,
,,,,,,,,569,
,,,,,,,,570,
,,,,,,,,571,
,,,,,,,,572,
,,,,,,,,573,
,,,,,,,,574,
,,,,,,,,575,
,,,,,,,,576,
,,,,,,,,577,
,,,,,,,,578,
,,,,,,,,579,
,,,,,,,,580,
,,,,,,,,581,
,,,,,,,,582,
,,,,,,,,583,
,,,,,,,,584,
,,,,,,,,585,
,,,,,,,,586,
,,,,,,,,587,
,,,,,,,,588,
,,,,,,,,589,
,,,,,,,,590,
,,,,,,,,591,
,,,,,,,,592,
,,,,,,,,593,
,,,,,,,,594,
,,,,,,,,595,
,,,,,,,,596,
,,,,,,,,597,
,,,,,,,,598,
,,,,,,,,599,
,,,,,,,,600,
,,,,,,,,601,
,,,,,,,,602,
,,,,,,,,603,
,,,,,,,,604,
,,,,,,,,605,
,,,,,,,,606,
,,,,,,,,607,
,,,,,,,,608,
,,,,,,,,609,
,,,,,,,,610,
,,,,,,,,611,
,,,,,,,,612,
,,,,,,,,613,
,,,,,,,,614,
,,,,,,,,615,
,,,,,,,,616,
,,,,,,,,617,
,,,,,,,,618,
,,,,,,,,619,
,,,,,,,,620,
,,,,,,,,621,
,,,,,,,,622,
,,,,,,,,623,
,,,,,,,,624,
,,,,,,,,625,
,,,,,,,,626,
,,,,,,,,627,
,,,,,,,,628,
,,,,,,,,629,
,,,,,,,,630,
,,,,,,,,631,
,,,,,,,,632,
,,,,,,,,633,
,,,,,,,,634,
,,,,,,,,635,
,,,,,,,,636,
,,,,,,,,637,
,,,,,,,,638,
,,,,,,,,639,
,,,,,,,,640,
,,,,,,,,641,
,,,,,,,,642,
,,,,,,,,643,
,,,,,,,,644,
,,,,,,,,645,
,,,,,,,,646,
,,,,,,,,647,
,,,,,,,,648,
,,,,,,,,649,
,,,,,,,,650,
,,,,,,,,651,
,,,,,,,,652,
,,,,,,,,653,
,,,,,,,,654,
,,,,,,,,655,
,,,,,,,,656,
,,,,,,,,657,
,,,,,,,,658,
,,,,,,,,659,
,,,,,,,,660,
,,,,,,,,661,
,,,,,,,,662,
,,,,,,,,663,
,,,,,,,,664,
,,,,,,,,665,
,,,,,,,,666,
,,,,,,,,667,
,,,,,,,,668,
,,,,,,,,669,
,,,,,,,,670,
,,,,,,,,671,
,,,,,,,,672,
,,,,,,,,673,
,,,,,,,,674,
,,,,,,,,675,
,,,,,,,,676,
,,,,,,,,677,
,,,,,,,,678,
,,,,,,,,679,
,,,,,,,,680,
,,,,,,,,681,
,,,,,,,,682,
,,,,,,,,683,
,,,,,,,,684,
,,,,,,,,685,
,,,,,,,,686,
,,,,,,,,687,
,,,,,,,,688,
,,,,,,,,689,
,,,,,,,,690,
,,,,,,,,691,
,,,,,,,,692,
,,,,,,,,693,
,,,,,,,,694,
,,,,,,,,695,
,,,,,,,,696,
,,,,,,,,697,
,,,,,,,,698,
,,,,,,,,699,
,,,,,,,,700,
,,,,,,,,701,
,,,,,,,,702,
,,,,,,,,703,
,,,,,,,,704,
,,,,,,,,705,
,,,,,,,,706,
,,,,,,,,707,
,,,,,,,,708,
,,,,,,,,709,
,,,,,,,,710,
,,,,,,,,711,
,,,,,,,,712,
,,,,,,,,713,
,,,,,,,,714,
,,,,,,,,715,
,,,,,,,,716,
,,,,,,,,717,
,,,,,,,,718,
,,,,,,,,719,
,,,,,,,,720,
,,,,,,,,721,
,,,,,,,,722,
,,,,,,,,723,
,,,,,,,,724,
,,,,,,,,725,
,,,,,,,,726,
,,,,,,,,727,
,,,,,,,,728,
,,,,,,,,729,
,,,,,,,,730,
,,,,,,,,731,
,,,,,,,,732,
,,,,,,,,733,
,,,,,,,,734,
,,,,,,,,735,
,,,,,,,,736,
,,,,,,,,737,
,,,,,,,,738,
,,,,,,,,739,
,,,,,,,,740,
,,,,,,,,741,
,,,,,,,,742,
,,,,,,,,743,
,,,,,,,,744,
,,,,,,,,745,
,,,,,,,,746,
,,,,,,,,747,
,,,,,,,,748,
,,,,,,,,749,
,,,,,,,,750,
,,,,,,,,751,
,,,,,,,,752,
,,,,,,,,753,
,,,,,,,,754,
,,,,,,,,755,
,,,,,,,,756,
,,,,,,,,757,
,,,,,,,,758,
,,,,,,,,759,
,,,,,,,,760,
,,,,,,,,761,
,,,,,,,,762,
,,,,,,,,763,
,,,,,,,,764,
,,,,,,,,765,
,,,,,,,,766,
,,,,,,,,767,
,,,,,,,,768,
,,,,,,,,769,
,,,,,,,,770,
,,,,,,,,771,
,,,,,,,,772,
,,,,,,,,773,
,,,,,,,,774,
,,,,,,,,775,
,,,,,,,,776,
,,,,,,,,777,
,,,,,,,,778,
,,,,,,,,779,
,,,,,,,,780,
,,,,,,,,781,
,,,,,,,,782,
,,,,,,,,783,
,,,,,,,,784,
,,,,,,,,785,
,,,,,,,,786,
,,,,,,,,787,
,,,,,,,,788,
,,,,,,,,789,
,,,,,,,,790,
,,,,,,,,791,
,,,,,,,,792,
,,,,,,,,793,
,,,,,,,,794,
,,,,,,,,795,
,,,,,,,,796,
,,,,,,,,797,
,,,,,,,,798,
,,,,,,,,799,
,,,,,,,,800,
,,,,,,,,801,
,,,,,,,,802,
,,,,,,,,803,
,,,,,,,,804,
,,,,,,,,805,
,,,,,,,,806,
,,,,,,,,807,
,,,,,,,,808,
,,,,,,,,809,
,,,,,,,,810,
,,,,,,,,811,
,,,,,,,,812,
,,,,,,,,813,
,,,,,,,,814,
,,,,,,,,815,
,,,,,,,,816,
,,,,,,,,817,
,,,,,,,,818,
,,,,,,,,819,
,,,,,,,,820,
,,,,,,,,821,
