K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,,,
2-49-8-37-93,33-67-61-48-2,7.5568,6.59836,2.02726,12.08059,1,0.0473,,,,,
20-93-49,76-8-32,3.50616,4.81135,0,8.2702,1,0.04731,,,,,
15-67-48,6-20-76,3.56969,5.50332,0,9.02471,1,0.0483,,,,,
48-18-22-28-15,32-2-93-18-15,7.8258,8.02074,3.22083,12.57634,1,0.04936,,,,,
21-37-2-6-61,15-6-76-8-48,9.10033,9.22746,3.31974,14.95862,1,0.04943,,,,,
22-61-33-15,49-32-93-20,4.61271,5.40352,0,9.966,1,0.05023,,,,,
1-61-2,49-20-1,24.80142,23.35411,22.78806,25.31722,1,0.05025,,,,,
32-61-22,8-18-93,4.23264,4.8334,0,9.01527,1,0.05077,,,,,
33-15-48,6-2-37,4.26578,5.95574,0,10.17054,1,0.05098,,,,,
18-49-48-32,93-18-8-48,7.04349,6.79929,3.9151,9.87606,1,0.05162,,,,,
61-2-28-76-93,33-15-93-22-49,6.85782,5.66278,1.03183,11.43673,1,0.05204,,,,,
33-76-93-15,61-18-93-49,4.39273,5.43168,1.03213,8.74021,1,0.05207,,,,,
48-93-22-33-67,61-18-21-22-28,5.46618,9.69823,1.1006,14.01164,1,0.05217,,,,,
32-8-37,28-8-61,5.23598,4.59379,1.85079,7.92678,1,0.0522,,,,,
18-93-49,8-2-32,4.21958,5.55318,0,9.71994,1,0.05282,,,,,
32-15-8-18,49-15-28-20,6.96832,5.2821,1.26873,10.9288,1,0.05288,,,,,
2022/8/15,49-22-37,4.21867,4.02096,1.10078,7.08553,1,0.05333,,,,,
32-49-28-48-61,18-22-20-67-48,7.80768,6.58952,1.96455,12.37929,1,0.05336,,,,,
76-2-49-1,8-49-1-20,25.09175,23.7989,23.0968,25.73969,1,0.05416,,,,,
21-28-6-8,28-93-15-48,8.90632,5.79646,1.53828,13.11028,1,0.05423,,,,,
61-21-2,49-37-21,6.69553,6.38649,4.07794,8.94929,1,0.05479,,,,,
33-61-48-67,67-48-76-28,4.54889,4.88489,2.30172,7.07696,1,0.05509,,,,,
32-1-20-28,2-22-1-61,24.71448,25.90882,22.78914,27.77894,1,0.05521,,,,,
15-2-32-33,8-2-48-33,6.06996,6.82154,3.0582,9.77717,1,0.05613,,,,,
28-8-33-6,48-93-67-18,7.59209,5.28374,0,12.81961,1,0.05622,,,,,
15-37-28,49-48-76,4.50986,4.26945,0,8.72278,1,0.05654,,,,,
37-15-93-2,49-33-22-28,5.85332,4.90558,0,10.70184,1,0.05705,,,,,
22-49-8-48-28,93-67-48-2-8,7.6893,7.15346,3.81545,10.96998,1,0.05734,,,,,
8-20-15-33,32-18-76-20,5.38932,6.17213,1.23709,10.26563,1,0.05873,,,,,
8-22-2-21-18,67-76-2-33-15,10.24817,6.496,2.03293,14.6522,1,0.05904,,,,,
22-8-28-67,32-61-67-22,5.56521,5.33186,2.20101,8.63684,1,0.05922,,,,,
61-76-15-49-22,37-15-28-48-2,5.83168,8.31447,1.26903,12.81581,1,0.06131,,,,,
61-32-28-93-8,28-21-8-32-33,7.49421,9.67083,5.28194,11.82047,1,0.06263,,,,,
76-48-93,6-37-48,4.06639,6.44567,1.96555,8.48333,1,0.06318,,,,,
18-37-21-15,76-33-93-48,8.45903,5.09633,0,13.49077,1,0.0646,,,,,
1-37-28-2,61-20-1-28,26.14109,25.4396,24.14432,27.37058,1,0.0658,,,,,
28-18-61,32-2-76,4.69886,4.85169,0,9.48468,1,0.06587,,,,,
18-15-8-28-93,18-8-33-21-67,7.63239,9.86999,3.80222,13.63361,1,0.06654,,,,,
67-48-20-37,22-21-37-67,5.22425,7.37218,2.80944,9.71999,1,0.067,,,,,
2020/8/18,32-67-48,5.03674,4.22226,0,9.19158,1,0.06742,,,,,
67-8-15-20,37-22-76-15,5.45688,5.13117,1.26899,9.25153,1,0.06753,,,,,
15-8-6-32,6-37-49-28,7.60873,7.16558,3.32442,11.38219,1,0.06771,,,,,
1-22-67-2-93,67-76-37-21-1,26.90769,27.48986,23.81127,30.51833,1,0.06795,,,,,
22-20-67-37,33-28-61-18,5.1347,5.73607,0,10.80249,1,0.06828,,,,,
76-61-48,32-61-21,4.19542,6.53956,1.21639,9.4498,1,0.06878,,,,,
6-20-22,76-22-67,5.58912,3.26927,1.10042,7.68775,1,0.07022,,,,,
61-28-21,93-20-33,6.72511,3.30077,0,9.9555,1,0.07038,,,,,
93-49-8,18-2-33,4.11922,5.00538,0,9.0524,1,0.0722,,,,,
49-8-61-76,61-15-32-76,5.30516,5.40936,2.23348,8.4087,1,0.07234,,,,,
18-15-8,61-37-93,5.0697,3.92659,0,8.92369,1,0.0726,,,,,
21-28-67,67-61-93,6.66167,3.34596,1.10048,8.83416,1,0.07299,,,,,
15-22-76-28,15-28-37-6,4.97422,7.273,2.80557,9.36854,1,0.07311,,,,,
20-28-76,8-76-6,3.84065,6.02968,1.06853,8.72859,1,0.07321,,,,,
61-22-32-2-18,2-61-49-8-67,8.05017,7.37007,3.26974,12.07713,1,0.07337,,,,,
32-61-33,48-67-8,4.15591,4.15073,0,8.23185,1,0.0748,,,,,
21-20-76-67,6-93-21-33,7.3904,7.78779,4.07734,11.02584,1,0.07501,,,,,
76-18-67,76-1-37,4.11736,24.79712,1.06843,27.77102,1,0.07504,,,,,
93-76-61,32-37-18,3.26339,5.42606,0,8.61431,1,0.07514,,,,,
15-8-48-37,20-37-61-32,6.73747,5.82588,1.70391,10.78396,1,0.07548,,,,,
2-37-76,22-33-8,4.62882,3.98284,0,8.53495,1,0.07671,,,,,
8-33-20-15,37-67-28-33,5.38909,5.35213,1.03172,9.63197,1,0.07753,,,,,
93-28-15-8,49-37-15-67,5.68269,5.28199,1.26923,9.61774,1,0.07771,,,,,
18-20-93,21-48-32,4.21992,7.34603,0,11.48751,1,0.07845,,,,,
8-49-28-93,2-15-93-18,5.65741,6.26481,1.03185,10.81146,1,0.07892,,,,,
18-37-15-49,18-76-8-20,6.13797,6.10286,1.95064,10.21123,1,0.07895,,,,,
67-48-76,32-61-18,3.36884,5.08529,0,8.37404,1,0.08009,,,,,
20-93-1-67,20-93-33-76,25.07574,4.36761,2.26892,27.09279,1,0.08164,,,,,
1-8-22-6,67-8-76-6,25.25745,7.13017,5.03087,27.27441,1,0.08233,,,,,
15-48-28-76,21-48-33-37,5.84031,8.24368,1.96509,12.03423,1,0.08467,,,,,
15-22-20-76,33-6-49-20,4.67358,6.68213,1.23684,10.03385,1,0.08503,,,,,
49-2-37-48,48-15-8-22,6.70901,6.18667,1.9649,10.84364,1,0.08714,,,,,
18-33-76,1-15-8,4.0525,24.29624,0,28.26099,1,0.08774,,,,,
20-18-22-15-8,18-6-37-48-8,7.40853,10.10018,3.803,13.61576,1,0.08995,,,,,
8-28-20,1933/8/6,4.62554,6.07135,1.85028,8.75544,1,0.09117,,,,,
22-37-28-8,20-61-49-15,6.14477,4.95229,0,11.00454,1,0.09252,,,,,
21-2-61-93-22,76-8-21-37-18,8.75017,9.94241,4.07441,14.52375,1,0.09441,,,,,
6-8-49,76-48-67,6.1764,3.36854,0,9.44992,1,0.09502,,,,,
2-8-21-48-76,33-18-22-2-28,10.25113,7.64696,2.02162,15.78113,1,0.09534,,,,,
67-8-49-28-61,33-67-49-8-21,6.90532,9.05816,4.1888,11.67898,1,0.0957,,,,,
21-18-61,20-48-28,7.15574,4.73939,0,11.79925,1,0.09588,,,,,
48-76-1-6-93,33-48-67-93-22,27.52452,5.46461,2.99703,29.89618,1,0.09593,,,,,
21-6-33,2-33-6,6.73932,5.84512,4.36841,8.11854,1,0.09749,,,,,
61-20-6,20-49-28,5.49303,4.01197,1.23759,8.16796,1,0.09944,,,,,
18-49-28,15-21-22,4.72656,6.34378,0,10.96997,1,0.10037,,,,,
22-8-67-37,15-28-61-49,5.71138,5.25346,0,10.86348,1,0.10136,,,,,
49-33-15-22,67-22-6-15,4.63809,6.77759,2.36933,8.94464,1,0.1017,,,,,
93-37-32-15-18,18-22-61-49-67,7.69293,6.60155,1.95111,12.23798,1,0.10538,,,,,
93-76-33-28-22,33-28-15-49-21,5.77042,9.01715,2.57073,12.10959,1,0.10725,,,,,
49-61-18,18-37-32,4.39984,5.4199,1.95162,7.75855,1,0.10957,,,,,
6-22-93,20-28-48,5.46332,4.73945,0,10.0931,1,0.10967,,,,,
48-15-20-21-32,32-22-93-15-28,9.76484,6.87169,3.2087,13.31735,1,0.11048,,,,,
28-49-20-8,20-37-61-67,5.86395,5.20775,1.23737,9.7219,1,0.11242,,,,,
1932/8/22,6-32-20,4.85478,5.83586,1.95035,8.62713,1,0.11316,,,,,
33-21-22,61-48-28,6.1296,4.72025,0,10.73357,1,0.11628,,,,,
93-32-61-28-2,8-22-33-48-93,7.54515,6.98128,1.03196,13.37767,1,0.1168,,,,,
67-15-33-22,18-33-21-93,4.50101,8.09826,1.03171,11.44534,1,0.12222,,,,,
33-32-20-76-21,15-76-32-8-67,8.65397,7.16807,3.00384,12.69594,1,0.12226,,,,,
33-21-8-18-48,93-76-28-49-18,10.70766,6.82315,1.95095,15.45571,1,0.12415,,,,,
32-20-76-28,49-93-6-32,5.75619,6.8399,1.94766,10.52366,1,0.12476,,,,,
18-33-48-8-2,28-2-49-21-37,8.77547,9.35252,2.02469,15.97672,1,0.12657,,,,,
49-2-18-22-32,32-22-37-67-61,8.01726,6.82746,3.04979,11.66644,1,0.12849,,,,,
61-93-2-21-18,37-2-21-1-18,9.68331,28.40498,7.52648,30.43289,1,0.12892,,,,,
76-28-8,2-67-61,4.45258,4.37838,0,8.70034,1,0.13063,,,,,
21-22-2-93-6,2-76-37-6-20,9.12759,7.86225,4.82022,12.03896,1,0.13066,,,,,
6-15-32-22,49-32-48-20,7.0133,6.30929,1.94363,11.24605,1,0.13291,,,,,
18-8-15-21-2,18-76-15-33-49,10.4762,6.55373,3.21996,13.67379,1,0.13618,,,,,
15-21-18-48-67,67-21-1-15-20,9.55341,26.80845,6.41902,29.80524,1,0.13761,,,,,
28-93-20-48,32-33-6-21,5.77272,7.93184,0,13.56682,1,0.13773,,,,,
48-33-76-49,18-21-33-22,5.29979,8.0869,1.03176,12.21607,1,0.13885,,,,,
33-20-61,8-67-21,3.48224,6.87459,0,10.21385,1,0.14298,,,,,
2018/2/6,49-48-28,6.77139,4.74045,0,11.36839,1,0.14345,,,,,
21-2-67,6-21-37,6.65463,6.76425,4.07146,9.20299,1,0.14442,,,,,
76-32-22-93-48,18-32-76-1-49,7.07314,26.3667,3.01094,30.28375,1,0.14514,,,,,
8-33-48-18,33-48-15-6,6.79658,7.56718,2.9977,11.21995,1,0.14611,,,,,
2-15-22,61-37-18,4.38918,4.83823,0,9.07932,1,0.14809,,,,,
18-33-8,21-28-37,4.83291,6.77488,0,11.45691,1,0.15089,,,,,
49-32-18-61,1-18-32-49,6.28695,25.35871,5.11089,26.38222,1,0.15256,,,,,
93-1-33-6,76-6-28-93,25.72578,6.8807,4.36603,28.08316,1,0.15729,,,,,
15-2-6-37-21,18-8-67-33-2,9.35164,7.91107,2.02459,15.0801,1,0.15803,,,,,
2-21-20,48-8-93,6.46952,4.847,0,11.158,1,0.15852,,,,,
61-76-93-20-18,37-93-48-21-18,6.44832,10.16876,2.98403,13.4741,1,0.15895,,,,,
22-48-18,61-37-1,5.01693,24.81188,0,29.66951,1,0.1593,,,,,
49-1-32,48-18-22,23.40968,5.0165,0,28.26642,1,0.15975,,,,,
93-76-37,93-67-2,3.79606,4.15384,1.03172,6.7576,1,0.16058,,,,,
15-61-76-6-1,18-48-93-76-6,26.77692,9.25305,4.32829,31.53987,1,0.1618,,,,,
21-28-48-33-6,76-33-18-93-22,10.21375,6.18178,1.03173,15.20176,1,0.16204,,,,,
2-20-8-28,33-18-21-2,6.32625,8.54465,2.02566,12.68257,1,0.16267,,,,,
37-15-21,6-67-21,6.51233,6.80846,4.07341,9.08354,1,0.16383,,,,,
21-2-18-32-15,22-76-32-28-49,10.04374,6.84771,1.95284,14.77352,1,0.16509,,,,,
15-1-93-32,33-22-67-76,25.17385,4.30244,0,29.31101,1,0.16528,,,,,
67-18-33-21-28,67-48-49-22-93,9.64887,5.67048,1.10056,14.04995,1,0.16884,,,,,
76-21-6,76-67-61,6.71595,3.3332,1.06718,8.81289,1,0.16909,,,,,
76-15-20,21-6-67,3.57233,6.80212,0,10.20258,1,0.17187,,,,,
2-8-49-93,20-2-28-21,6.07297,7.99863,2.02187,11.87733,1,0.1724,,,,,
20-32-76-33-48,22-20-48-2-67,7.18862,6.38277,3.20153,10.19718,1,0.17268,,,,,
67-8-15-21,22-18-76-61,8.12189,5.28247,0,13.23078,1,0.17357,,,,,
15-49-2,37-28-61,4.49903,4.42215,0,8.74746,1,0.17373,,,,,
37-28-21-6,93-2-8-21,8.27778,8.29836,4.06905,12.33186,1,0.17523,,,,,
22-61-6-37,22-49-6-1,6.60634,25.11418,4.42393,27.12119,1,0.17541,,,,,
18-21-8,22-33-49,7.74357,3.36943,0,10.93752,1,0.17547,,,,,
37-22-61-15-18,93-20-2-22-18,7.20831,7.06766,3.05177,11.04856,1,0.17564,,,,,
18-15-6,2018/1/6,6.53296,25.66061,5.28019,26.72586,1,0.18752,,,,,
61-76-93-49-20,15-6-37-67-61,5.731,7.84201,1.21557,12.16916,1,0.18828,,,,,
22-15-20-2,76-37-22-93,5.34899,4.90078,1.10038,8.96072,1,0.18867,,,,,
20-15-22-2,15-37-48-76,5.3489,5.98828,1.26966,9.87579,1,0.19174,,,,,
22-28-48-2,61-18-32-33,6.61854,6.10963,0,12.53615,1,0.19202,,,,,
48-15-8,2002/6/20,5.08547,5.7152,0,10.60715,1,0.19352,,,,,
20-1-76,61-20-18,24.05591,4.3969,1.23675,27.02175,1,0.19431,,,,,
67-15-6-21,93-49-22-33,8.04515,4.40129,0,12.25195,1,0.19448,,,,,
22-33-2,18-32-48,4.15634,5.83635,0,9.79793,1,0.19476,,,,,
37-61-33,2-93-76,3.93677,4.12557,0,7.86735,1,0.19499,,,,,
15-28-8,76-21-2,4.65605,6.62249,0,11.0821,1,0.19645,,,,,
1933/8/28,1948/8/1,4.42019,25.04066,1.85078,27.41265,1,0.19742,,,,,
49-22-37-20,93-32-49-22,5.23113,5.29,2.3381,7.98421,1,0.19882,,,,,
22-93-2-37-32,76-49-15-8-22,7.31177,6.52074,1.10064,12.53083,1,0.20104,,,,,
67-6-20-1,15-22-67-18,24.99303,5.42138,1.10071,29.11253,1,0.20117,,,,,
61-49-8-21-6,67-22-76-20-49,9.49931,5.74041,1.23799,13.79876,1,0.20298,,,,,
33-2-67-22,32-18-28-76,5.25132,6.48693,0,11.53519,1,0.20306,,,,,
21-28-93-32,61-67-20-76,7.97117,4.56444,0,12.33099,1,0.20462,,,,,
18-1-32,93-28-18,25.05163,4.519,1.95215,27.41372,1,0.20475,,,,,
93-32-67,37-76-18,4.07804,4.72188,0,8.59475,1,0.20516,,,,,
93-18-15-61-6,67-20-22-8-28,8.53787,6.80479,0,15.1337,1,0.20895,,,,,
37-6-93,33-61-67,5.52972,3.3458,0,8.6663,1,0.20922,,,,,
67-37-8-22-18,2-15-93-33-76,7.65955,6.41734,0,13.86757,1,0.20932,,,,,
18-21-32-37,37-20-61-22,8.49278,5.21144,1.7065,11.7882,1,0.20951,,,,,
1967/6/22,33-61-22,5.52073,3.34668,1.10062,7.55604,1,0.21075,,,,,
15-22-48-49,15-6-21-93,5.57311,7.97169,1.26894,12.06295,1,0.21292,,,,,
61-22-15,2001/6/15,3.58448,24.77471,1.26922,26.87668,1,0.2133,,,,,
49-32-15-61,61-37-28-33,5.60241,5.45806,1.21464,9.63231,1,0.21353,,,,,
18-61-67-22,1-22-67-6,5.36853,25.83272,2.20113,28.78624,1,0.21389,,,,,
32-48-8-28,22-18-28-37,7.21587,6.28954,1.53783,11.75322,1,0.21435,,,,,
61-15-22-18-37,61-2-33-49-20,7.21318,6.45782,1.21478,12.24046,1,0.21575,,,,,
67-37-48,8-20-2,4.00101,4.79025,0,8.57504,1,0.21622,,,,,
28-32-22-61-6,20-22-18-8-33,8.28984,7.17204,1.10045,14.14498,1,0.21644,,,,,
15-1-2-67,15-28-33-93,25.86929,4.86241,1.26957,29.24566,1,0.21646,,,,,
2-28-20,32-18-48,4.51277,5.83325,0,10.12889,1,0.21713,,,,,
76-33-61-67,76-37-1-33,4.36293,25.80416,2.09919,27.85065,1,0.21725,,,,,
93-8-67-28-48,33-2-21-22-32,6.69631,8.91869,0,15.39727,1,0.21773,,,,,
1-15-28-76-49,15-67-76-49-61,26.53234,5.83199,3.57322,28.57137,1,0.21975,,,,,
2-28-49,32-93-22,4.76896,4.07819,0,8.62637,1,0.22078,,,,,
61-20-22-49,61-21-28-18,4.78297,8.66478,1.21468,12.01192,1,0.22114,,,,,
8-22-37,32-28-93,4.61358,4.50821,0,8.90052,1,0.22127,,,,,
2-33-76-20,22-15-49-37,5.09214,5.27871,0,10.14955,1,0.2213,,,,,
22-15-32,93-20-2,4.3098,4.02167,0,8.10799,1,0.22348,,,,,
2-22-93,32-22-49,4.15902,4.25852,1.10078,7.09317,1,0.22358,,,,,
2021/6/2,22-15-49,7.07731,3.60588,0,10.45886,1,0.22434,,,,,
67-48-32-8,67-2-28-18,6.01825,6.58274,1.10141,11.27456,1,0.22502,,,,,
1932/1/20,67-28-18,23.35497,4.56598,0,27.69372,1,0.22723,,,,,
93-6-22-49-32,6-61-49-18-21,7.94727,9.7864,4.47549,13.03049,1,0.22768,,,,,
93-49-6,48-93-61,5.48742,4.21443,1.03182,8.44173,1,0.2283,,,,,
8-1-49-48,33-93-61-8,25.34835,5.12294,1.85065,28.39229,1,0.22835,,,,,
61-32-8-15,33-67-2-49,6.19306,5.36053,0,11.32462,1,0.22896,,,,,
18-93-1,33-61-76,25.74786,3.2646,0,28.78259,1,0.22987,,,,,
32-28-76,49-37-93,4.53742,3.9485,0,8.2551,1,0.23082,,,,,
21-1-8-15,76-33-61-15,25.97116,4.53596,1.26863,29.00662,1,0.23186,,,,,
28-32-48-67,8-37-33-67,5.73073,5.6435,1.10054,10.04178,1,0.2319,,,,,
33-48-93-61,48-67-1-20,5.24681,25.11267,1.96533,28.15748,1,0.23666,,,,,
61-93-76-28,2-93-6-8,4.79932,7.55118,1.03177,11.07895,1,0.23977,,,,,
33-48-8-61,33-28-21-15,6.05496,7.87362,1.03177,12.65695,1,0.23986,,,,,
1-20-76-22,20-61-93-33,25.15606,4.51431,1.23788,28.19097,1,0.24151,,,,,
49-1-61,76-93-48,24.11604,4.06678,0,27.94131,1,0.24152,,,,,
61-8-93-49,37-61-6-33,5.32099,6.54488,1.21661,10.40503,1,0.24423,,,,,
15-20-37-93-49,2-61-48-20-18,6.42266,8.14761,1.2369,13.08903,1,0.24433,,,,,
20-18-61-15,21-8-6-20,5.66967,8.55145,1.23709,12.73445,1,0.24957,,,,,
49-18-8-61-76,21-32-2-48-61,7.2581,9.90356,1.21828,15.69346,1,0.24992,,,,,
32-61-20-28-76,67-33-93-18-37,6.88888,6.82321,0,13.46048,1,0.25161,,,,,
76-67-32-93,8-37-18-28,5.13726,6.99396,0,11.87221,1,0.259,,,,,
22-1-32-67-48,76-93-15-32-18,26.26412,7.24007,1.94524,31.29928,1,0.25966,,,,,
61-48-22-6-28,61-49-8-67-48,8.9069,6.59109,3.18026,12.05605,1,0.26168,,,,,
48-8-61,15-37-21,5.02157,6.50613,0,11.26426,1,0.26344,,,,,
48-2-6-76-49,6-49-28-93-20,8.90696,8.19003,4.4825,12.349,1,0.26549,,,,,
1-22-37,67-18-61,24.88427,4.2674,0,28.88554,1,0.26613,,,,,
8-32-2-76,33-8-32-20,6.61471,6.00466,3.75987,8.59306,1,0.26645,,,,,
1967/6/8,20-22-61,6.12852,3.55058,0,9.41147,1,0.26763,,,,,
37-33-61-49-20,93-2-22-37-8,6.34265,7.46502,1.71244,11.82722,1,0.26801,,,,,
37-33-76-15-28,32-33-48-22-61,6.60265,7.19297,1.03147,12.49418,1,0.26996,,,,,
22-33-37-20,33-37-48-2,5.06451,6.549,2.74073,8.60189,1,0.27088,,,,,
76-67-28-37,8-33-1-37,5.3716,25.24131,1.71329,28.62736,1,0.27227,,,,,
8-93-67-76-32,28-49-93-37-15,6.93619,6.73414,1.03188,12.36003,1,0.27842,,,,,
21-22-48-61,1-21-2-6,8.18018,26.37242,4.06902,30.20437,1,0.2792,,,,,
6-93-1,15-22-67,24.71956,3.4702,0,27.90881,1,0.28094,,,,,
18-15-21-1,61-15-67-76,27.47832,4.60007,1.26829,30.52656,1,0.28355,,,,,
37-20-8-32,2-22-20-8,6.44184,5.88909,3.08824,8.95689,1,0.28579,,,,,
8-20-32-6,61-28-76-48,7.53679,5.73451,0,12.9798,1,0.29151,,,,,
67-93-21-33,61-8-20-18,7.25034,6.24327,0,13.2003,1,0.29331,,,,,
2028/1/15,67-61-33,25.21631,3.34854,0,28.26994,1,0.29491,,,,,
20-32-8-28-15,32-8-37-49-2,7.76406,8.08402,3.74636,11.80522,1,0.29651,,,,,
67-20-33,32-61-2,3.36947,4.99023,0,8.06247,1,0.29723,,,,,
8-2-18-32,8-32-20-49,7.50991,6.18153,3.75648,9.63577,1,0.29918,,,,,
20-61-32-33-48,22-2-48-76-32,7.30841,7.88546,3.88376,11.00995,1,0.30017,,,,,
61-15-49-22-18,28-18-48-21-32,6.76729,10.82215,1.95111,15.33816,1,0.30018,,,,,
2-1-22-8-6,6-61-15-48-2,26.24312,9.00363,4.82096,30.12507,1,0.30073,,,,,
48-28-33-22-37,61-18-32-49-8,7.33346,8.08292,0,15.11563,1,0.30074,,,,,
15-8-93-33-76,1-8-28-37-18,6.24025,27.54328,1.8504,31.63217,1,0.30096,,,,,
6-22-49-1-93,76-18-61-49-67,26.12631,6.51816,1.2375,31.10402,1,0.30296,,,,,
22-93-20-28,18-67-2-76,4.90712,6.15043,0,10.75417,1,0.30338,,,,,
76-2-28-20-1,93-28-2-67-61,26.34686,6.91033,3.55968,29.39207,1,0.30544,,,,,
18-28-15-2,49-20-28-18,6.77402,5.9638,3.48835,8.94348,1,0.30599,,,,,
15-61-20,2-22-37,3.71765,4.66058,0,8.06843,1,0.30981,,,,,
2028/8/2,20-67-15,5.37123,3.60644,0,8.66702,1,0.31065,,,,,
8-18-76-33-32,67-33-8-2-37,7.79037,7.46451,2.88239,12.05999,1,0.3125,,,,,
2028/2/22,8-76-20,4.65113,4.1527,0,8.49085,1,0.31298,,,,,
22-8-18-61,15-21-33-76,6.11319,7.39733,0,13.19112,1,0.31941,,,,,
49-61-18-48,6-28-76-20,6.36355,7.02166,0,13.0601,1,0.32511,,,,,
15-76-18-32-8,8-2-37-28-76,8.01989,7.93362,2.91641,12.70697,1,0.33012,,,,,
61-18-2,76-18-20,5.22973,4.25219,1.95086,7.20067,1,0.33039,,,,,
20-28-48-15-8,21-61-37-32-33,7.85792,8.68994,0,16.21719,1,0.33067,,,,,
37-76-2-28,20-61-28-93,6.15468,5.02175,1.53824,9.30492,1,0.33328,,,,,
2-93-6-20,76-8-33-49,6.76495,5.18329,0,11.61469,1,0.33356,,,,,
49-8-37,1932/2/8,4.72431,5.5584,1.85134,8.09206,1,0.33931,,,,,
33-1-18-22-93,33-61-93-48-18,27.85183,7.1931,4.01427,30.68858,1,0.34209,,,,,
2-37-28,28-61-32,5.09631,4.66372,1.5372,7.88027,1,0.34255,,,,,
28-8-2-49,37-32-8-22,6.56972,6.33624,1.85068,10.70865,1,0.34663,,,,,
21-76-2-1-32,93-48-21-67-61,26.76865,8.51767,4.07257,30.86671,1,0.34705,,,,,
37-28-61,6-1-37,4.42603,24.71275,1.71202,27.0742,1,0.35256,,,,,
67-18-37-48,2-67-93-32,5.95736,5.91755,1.10108,10.41977,1,0.35406,,,,,
67-8-61,6-20-93,4.15547,5.53313,0,9.3334,1,0.35521,,,,,
2-37-61,32-33-18,4.77017,4.93773,0,9.34825,1,0.35965,,,,,
48-15-33-2,22-6-2-1,6.27294,25.80114,2.02901,29.68478,1,0.36029,,,,,
18-15-20-6-28,20-61-22-8-93,9.22519,6.42288,1.2369,14.04552,1,0.36565,,,,,
76-48-61-49,37-28-22-6,5.42937,7.13153,0,12.19474,1,0.36616,,,,,
49-48-28-15-61,6-28-37-20-2,7.21804,8.37643,1.53817,13.68681,1,0.3695,,,,,
61-21-32,2-33-32,6.53906,4.80913,1.95094,9.02496,1,0.37228,,,,,
15-76-61-2,1-2-49-76,5.55812,25.096,3.09769,27.18146,1,0.37497,,,,,
49-33-37-20,6-33-2-37,5.16695,6.97663,2.74402,9.02431,1,0.37526,,,,,
93-37-32-49,18-33-2-8,5.67612,6.81323,0,12.10724,1,0.38212,,,,,
49-37-8-32,48-2-93-33,6.42158,6.04208,0,12.0803,1,0.38336,,,,,
61-33-15,48-33-1,3.51593,25.59944,1.03198,27.69787,1,0.38552,,,,,
28-22-48-15-93,8-32-1-48-61,6.89655,26.3712,1.96594,30.91238,1,0.38943,,,,,
32-93-37,32-6-48,4.49656,6.60149,1.95217,8.75551,1,0.39038,,,,,
28-67-2-32,32-18-61-21,6.37939,8.49377,1.95267,12.52851,1,0.39199,,,,,
2-93-32,32-22-21,4.8119,6.44752,1.94134,8.92486,1,0.39321,,,,,
18-20-22-67-76,6-2-37-49-67,6.45481,8.18323,1.10019,13.14002,1,0.39782,,,,,
49-2-37-48-93,15-22-37-49-21,7.73137,8.65367,2.91316,13.0671,1,0.40478,,,,,
1-37-49-32-61,15-37-76-48-18,25.43769,7.94066,1.71132,31.25963,1,0.4074,,,,,
49-20-1-32-33,20-28-93-67-48,24.6785,6.08552,1.23745,29.10723,1,0.41934,,,,,
67-18-61-48-15,1-32-2-33-15,6.73245,26.16354,1.26954,31.20566,1,0.42078,,,,,
2-21-76,20-18-49,6.60766,4.42365,0,10.60581,1,0.4255,,,,,
33-8-32,2-48-37,4.78899,5.51815,0,9.8811,1,0.42605,,,,,
32-18-2-1,76-2-15-61,26.0387,5.55261,2.02949,29.13494,1,0.42688,,,,,
93-2-21-6,61-76-8-15,8.09638,5.3422,0,13.00866,1,0.42992,,,,,
15-76-28,2001/8/2,3.87475,24.22112,0,27.66205,1,0.43382,,,,,
1-67-48-22,76-22-15-28,25.95362,4.97545,1.10013,29.39155,1,0.43738,,,,,
32-37-15-20,49-2-37-76,5.92661,5.82135,1.71572,9.59207,1,0.44018,,,,,
32-61-20,18-2-33,4.34479,5.01212,0,8.91249,1,0.44441,,,,,
20-32-8-48,28-48-2-8,6.90777,7.32342,3.816,9.95241,1,0.46278,,,,,
37-28-2-76,6-49-2-93,6.1548,6.97344,2.02351,10.63931,1,0.46542,,,,,
49-20-37,48-22-2,4.13175,5.08446,0,8.75064,1,0.46557,,,,,
2-6-37-18,15-20-49-28,7.89418,5.28129,0,12.70847,1,0.46701,,,,,
32-48-18-21,2-32-93-8,9.29798,6.58176,1.94684,13.45984,1,0.47305,,,,,
20-18-32-93,28-2-18-76,6.1476,6.58592,1.95088,10.30753,1,0.4751,,,,,
15-2-6-93,32-22-2-67,7.09208,5.9772,2.02109,10.57185,1,0.47634,,,,,
15-2-76-22,20-8-33-37,5.46335,5.76458,0,10.74123,1,0.4867,,,,,
28-67-32-20,93-28-8-2,5.77045,6.39849,1.53842,10.13551,1,0.49501,,,,,
8-15-32-6-1,37-33-8-18-32,25.53141,8.21369,3.7557,29.49154,1,0.49786,,,,,
49-18-2,21-67-49,5.17401,6.31503,1.23752,9.75277,1,0.49875,,,,,
32-48-20-15-49,2-22-49-48-61,7.57334,7.53483,3.20246,11.40227,1,0.50343,,,,,
18-22-32-37-48,6-37-2-18-61,8.44673,8.90259,3.65531,13.19029,1,0.50371,,,,,
